Nome da Loja;Estado;Produto;Quantidade;Data;Preço do Produto
Loja D;RJ;Produto V;2;2023-03-06 00:00:00;433,97
Loja D;MG;Produto V;18;2023-02-25 00:00:00;42,44
Loja D;MG;Produto V;3;2023-04-06 00:00:00;282,48
Loja D;RS;Produto V;3;2023-08-03 00:00:00;483,16
Loja E;SP;Produto Y;18;2023-02-27 00:00:00;59,06
Loja C;RJ;Produto V;6;2024-05-06 00:00:00;275,02
Loja A;RS;Produto V;1;2024-02-09 00:00:00;74,9
Loja D;SP;Produto Y;15;2023-07-03 00:00:00;446,09
Loja B;RJ;Produto W;11;2023-10-09 00:00:00;298
Loja D;RJ;Produto Y;10;2024-12-21 00:00:00;124,96
Loja B;MG;Produto Z;4;2023-06-12 00:00:00;160,45
Loja B;PR;Produto Y;14;2023-03-30 00:00:00;263,15
Loja D;SP;Produto W;2;2023-04-07 00:00:00;365,42
Loja E;RJ;Produto Z;13;2024-08-09 00:00:00;248,87
Loja B;SP;Produto Z;16;2023-03-29 00:00:00;102,74
Loja B;RS;Produto X;12;2024-06-01 00:00:00;356,98
Loja D;RS;Produto V;5;2024-10-29 00:00:00;68
Loja B;PR;Produto Z;19;2023-03-04 00:00:00;406,61
Loja B;RJ;Produto Z;3;2024-06-24 00:00:00;203,84
Loja D;MG;Produto W;2;2023-07-10 00:00:00;329,83
Loja D;RJ;Produto Z;17;2024-12-16 00:00:00;178,9
Loja A;SP;Produto W;11;2023-10-05 00:00:00;337,85
Loja E;RS;Produto V;1;2024-06-22 00:00:00;445,7
Loja E;SP;Produto X;19;2023-03-26 00:00:00;353,69
Loja B;PR;Produto X;8;2023-12-01 00:00:00;338,99
Loja E;RS;Produto V;11;2024-03-16 00:00:00;381,13
Loja B;MG;Produto V;8;2024-12-22 00:00:00;255,1
Loja A;RS;Produto Y;17;2024-10-11 00:00:00;117,94
Loja D;RJ;Produto Z;6;2023-06-21 00:00:00;409,61
Loja D;RJ;Produto Z;7;2023-12-05 00:00:00;327,76
Loja D;RS;Produto Z;13;2024-10-29 00:00:00;163,77
Loja E;PR;Produto W;7;2023-08-17 00:00:00;145,18
Loja A;RJ;Produto Y;11;2023-06-28 00:00:00;254,97
Loja E;RJ;Produto Z;10;2023-09-04 00:00:00;111,58
Loja E;MG;Produto W;8;2024-11-04 00:00:00;440,34
Loja A;RS;Produto W;10;2024-11-05 00:00:00;396,4
Loja A;RJ;Produto X;11;2024-12-30 00:00:00;161,07
Loja A;PR;Produto W;17;2023-11-13 00:00:00;34,21
Loja A;SP;Produto V;11;2023-10-13 00:00:00;35,42
Loja D;RS;Produto W;16;2023-03-17 00:00:00;155,59
Loja C;MG;Produto V;5;2024-03-27 00:00:00;82,28
Loja C;RJ;Produto V;10;2023-07-23 00:00:00;437,93
Loja A;PR;Produto X;5;2024-12-28 00:00:00;216,18
Loja C;RS;Produto X;9;2024-02-28 00:00:00;180,53
Loja C;PR;Produto W;3;2023-07-12 00:00:00;116,77
Loja A;PR;Produto X;3;2023-10-20 00:00:00;422,19
Loja C;MG;Produto X;10;2024-12-04 00:00:00;398,31
Loja E;RS;Produto Z;7;2024-02-17 00:00:00;198,32
Loja B;RJ;Produto W;2;2024-03-14 00:00:00;92,99
Loja B;MG;Produto W;8;2023-10-28 00:00:00;476,47
Loja A;RJ;Produto W;12;2023-09-17 00:00:00;164,77
Loja D;SP;Produto X;9;2023-07-11 00:00:00;387,83
Loja A;PR;Produto X;11;2023-09-28 00:00:00;236,89
Loja D;SP;Produto V;19;2024-09-07 00:00:00;393,01
Loja B;PR;Produto Y;17;2024-03-07 00:00:00;245,99
Loja A;MG;Produto Y;13;2024-12-16 00:00:00;463,52
Loja E;RJ;Produto Y;1;2024-11-26 00:00:00;402,21
Loja C;RJ;Produto Z;1;2023-08-05 00:00:00;137,54
Loja D;MG;Produto X;8;2023-04-01 00:00:00;220,89
Loja C;RS;Produto V;13;2023-07-17 00:00:00;59,29
Loja C;SP;Produto V;6;2024-02-03 00:00:00;452,7
Loja A;SP;Produto Y;3;2023-02-08 00:00:00;43,96
Loja C;RJ;Produto Z;16;2024-12-09 00:00:00;18,94
Loja E;RJ;Produto Z;10;2024-04-15 00:00:00;253,25
Loja C;RJ;Produto Y;7;2023-03-20 00:00:00;305,53
Loja A;MG;Produto Y;3;2024-12-29 00:00:00;119,38
Loja E;RS;Produto X;14;2023-04-04 00:00:00;289,57
Loja B;SP;Produto Z;16;2024-11-14 00:00:00;448,83
Loja C;PR;Produto V;4;2023-02-12 00:00:00;316,8
Loja A;MG;Produto Y;13;2023-05-12 00:00:00;233,31
Loja B;SP;Produto X;1;2023-03-18 00:00:00;80,77
Loja B;RS;Produto V;5;2023-08-20 00:00:00;92,78
Loja D;MG;Produto Z;18;2023-02-08 00:00:00;247,33
Loja E;SP;Produto Y;12;2024-07-19 00:00:00;236,93
Loja C;MG;Produto Y;11;2023-05-31 00:00:00;265,97
Loja A;SP;Produto X;9;2024-11-30 00:00:00;258,87
Loja D;SP;Produto X;7;2024-02-23 00:00:00;177,23
Loja E;RS;Produto Z;14;2023-07-05 00:00:00;350,97
Loja D;PR;Produto Y;3;2023-11-14 00:00:00;113,98
Loja E;RS;Produto X;16;2024-04-08 00:00:00;427,64
Loja E;SP;Produto Y;7;2024-03-07 00:00:00;105,25
Loja C;MG;Produto Z;1;2023-05-15 00:00:00;213,78
Loja E;RS;Produto Y;6;2024-05-17 00:00:00;113,26
Loja D;PR;Produto V;6;2024-11-15 00:00:00;313,04
Loja E;SP;Produto Y;10;2023-09-26 00:00:00;244,04
Loja C;RS;Produto W;12;2024-03-12 00:00:00;193,41
Loja C;RS;Produto W;19;2024-09-18 00:00:00;242,82
Loja D;RS;Produto Z;6;2024-05-12 00:00:00;216,41
Loja B;RS;Produto Z;14;2024-07-04 00:00:00;429,03
Loja B;MG;Produto Z;3;2023-12-06 00:00:00;70,89
Loja E;PR;Produto V;10;2023-08-30 00:00:00;398,66
Loja A;PR;Produto V;9;2023-08-09 00:00:00;331,11
Loja E;SP;Produto Y;19;2024-10-19 00:00:00;180,68
Loja D;RJ;Produto X;15;2024-11-06 00:00:00;460,36
Loja D;MG;Produto W;9;2023-12-27 00:00:00;96,7
Loja D;SP;Produto W;19;2023-07-09 00:00:00;162,04
Loja D;SP;Produto W;8;2024-02-17 00:00:00;193,67
Loja D;RS;Produto Y;4;2023-11-25 00:00:00;327,42
Loja C;RJ;Produto Y;5;2023-08-10 00:00:00;473,74
Loja B;RJ;Produto Z;19;2024-11-16 00:00:00;300,79
Loja D;MG;Produto X;14;2023-04-02 00:00:00;429,59
Loja A;RJ;Produto Z;18;2024-03-15 00:00:00;453,44
Loja A;SP;Produto Y;19;2023-04-16 00:00:00;238,57
Loja A;RJ;Produto V;6;2023-09-02 00:00:00;241,49
Loja A;RJ;Produto Z;5;2023-11-01 00:00:00;132,5
Loja C;PR;Produto Y;11;2024-07-08 00:00:00;304,78
Loja A;SP;Produto Y;5;2024-08-20 00:00:00;68,81
Loja D;RJ;Produto V;8;2023-04-07 00:00:00;320,82
Loja E;RJ;Produto V;5;2024-04-21 00:00:00;447,52
Loja A;RS;Produto V;11;2023-09-23 00:00:00;382,78
Loja C;RJ;Produto X;13;2024-07-28 00:00:00;328,1
Loja C;RJ;Produto Y;6;2023-04-13 00:00:00;420,82
Loja A;PR;Produto V;5;2023-09-11 00:00:00;367,61
Loja E;SP;Produto X;18;2024-03-30 00:00:00;269,53
Loja A;MG;Produto W;10;2024-05-27 00:00:00;265,32
Loja C;SP;Produto W;16;2024-10-27 00:00:00;62,43
Loja B;RS;Produto W;14;2024-05-07 00:00:00;222,86
Loja D;SP;Produto Y;15;2023-09-18 00:00:00;266
Loja C;RJ;Produto X;3;2023-02-04 00:00:00;240,26
Loja A;RS;Produto X;3;2024-01-16 00:00:00;390,25
Loja D;SP;Produto W;12;2024-02-01 00:00:00;88,87
Loja A;RS;Produto Z;15;2023-01-27 00:00:00;399,5
Loja A;MG;Produto W;11;2023-11-02 00:00:00;373,41
Loja B;SP;Produto Y;10;2024-11-29 00:00:00;451,4
Loja D;RJ;Produto W;15;2024-11-01 00:00:00;192,99
Loja D;RS;Produto W;18;2024-08-03 00:00:00;96,51
Loja B;PR;Produto X;14;2023-06-14 00:00:00;381,73
Loja C;RS;Produto W;6;2023-09-15 00:00:00;298,33
Loja A;PR;Produto V;14;2023-04-12 00:00:00;359,12
Loja E;RJ;Produto V;16;2024-03-30 00:00:00;498,4
Loja A;MG;Produto Z;2;2023-07-12 00:00:00;105,32
Loja A;PR;Produto Y;19;2023-10-26 00:00:00;211,42
Loja C;MG;Produto Y;5;2023-01-21 00:00:00;104,42
Loja A;RS;Produto X;11;2023-02-14 00:00:00;431,71
Loja B;RJ;Produto Y;11;2024-04-24 00:00:00;18,32
Loja B;PR;Produto Z;19;2024-05-10 00:00:00;76,26
Loja D;RS;Produto V;18;2024-11-13 00:00:00;131,46
Loja E;SP;Produto X;8;2024-11-20 00:00:00;387,95
Loja A;RS;Produto V;12;2023-08-11 00:00:00;317,94
Loja A;MG;Produto Z;9;2023-10-26 00:00:00;200,42
Loja C;RJ;Produto X;3;2024-04-25 00:00:00;87,76
Loja B;RJ;Produto W;6;2023-01-24 00:00:00;167,59
Loja E;RS;Produto Y;1;2023-12-04 00:00:00;374,28
Loja D;SP;Produto Z;17;2023-03-25 00:00:00;197,16
Loja B;MG;Produto X;3;2023-03-01 00:00:00;236,67
Loja D;RS;Produto V;18;2023-10-15 00:00:00;308,23
Loja C;RS;Produto X;18;2024-09-25 00:00:00;457,31
Loja C;RJ;Produto W;2;2024-05-31 00:00:00;132,55
Loja A;MG;Produto Z;4;2023-06-03 00:00:00;229,52
Loja E;SP;Produto X;1;2023-10-08 00:00:00;162,06
Loja D;RJ;Produto Z;10;2024-03-09 00:00:00;238,43
Loja B;RS;Produto Z;5;2023-12-08 00:00:00;351,27
Loja C;RJ;Produto V;5;2023-03-27 00:00:00;246,21
Loja A;RJ;Produto Y;9;2024-08-09 00:00:00;418,92
Loja A;PR;Produto W;14;2023-07-10 00:00:00;281,1
Loja D;RJ;Produto X;13;2023-09-09 00:00:00;199,02
Loja C;RJ;Produto Y;13;2023-03-09 00:00:00;393,34
Loja E;MG;Produto V;1;2023-05-26 00:00:00;221,35
Loja C;RJ;Produto Y;17;2024-09-25 00:00:00;262,62
Loja D;SP;Produto Z;8;2024-07-07 00:00:00;497,39
Loja D;RS;Produto Z;3;2024-10-23 00:00:00;395,35
Loja C;MG;Produto W;17;2024-07-27 00:00:00;429,02
Loja D;RJ;Produto X;12;2023-09-12 00:00:00;300,5
Loja C;SP;Produto X;18;2023-05-11 00:00:00;180,63
Loja B;RS;Produto V;14;2024-01-12 00:00:00;495,72
Loja C;MG;Produto W;11;2024-06-15 00:00:00;129,57
Loja C;SP;Produto X;16;2023-07-18 00:00:00;437,68
Loja D;RJ;Produto Z;4;2023-08-09 00:00:00;456,54
Loja D;PR;Produto W;18;2024-02-14 00:00:00;410,6
Loja A;PR;Produto Y;7;2024-10-04 00:00:00;65,9
Loja A;MG;Produto W;11;2023-06-20 00:00:00;428,52
Loja B;SP;Produto W;16;2023-05-25 00:00:00;335,25
Loja A;RS;Produto X;16;2024-05-02 00:00:00;343,6
Loja C;SP;Produto V;3;2023-12-20 00:00:00;395,4
Loja D;PR;Produto V;9;2023-06-30 00:00:00;250,36
Loja A;MG;Produto X;8;2023-06-10 00:00:00;140,91
Loja A;RJ;Produto X;7;2024-04-08 00:00:00;291,72
Loja B;SP;Produto X;17;2023-03-01 00:00:00;63,25
Loja B;PR;Produto V;11;2023-08-03 00:00:00;340,65
Loja C;RS;Produto X;4;2024-08-02 00:00:00;246,64
Loja D;MG;Produto Y;4;2023-07-11 00:00:00;256,14
Loja B;RJ;Produto Y;5;2024-05-02 00:00:00;101,05
Loja A;SP;Produto Z;8;2023-08-13 00:00:00;30,23
Loja D;RS;Produto Y;10;2024-01-27 00:00:00;309,52
Loja D;RJ;Produto W;17;2024-12-09 00:00:00;332,83
Loja A;PR;Produto Z;6;2023-06-10 00:00:00;254,16
Loja B;PR;Produto Y;9;2024-03-30 00:00:00;385,21
Loja A;RS;Produto W;10;2023-04-21 00:00:00;286,22
Loja D;PR;Produto Y;8;2023-02-28 00:00:00;425,62
Loja E;MG;Produto W;15;2024-06-28 00:00:00;151,18
Loja E;RS;Produto X;18;2024-07-06 00:00:00;129,12
Loja C;PR;Produto W;5;2024-11-03 00:00:00;137,96
Loja A;SP;Produto X;18;2023-01-29 00:00:00;24,95
Loja A;PR;Produto W;1;2023-07-04 00:00:00;451,31
Loja C;MG;Produto W;2;2023-08-12 00:00:00;499,6
Loja C;RJ;Produto Y;10;2023-12-23 00:00:00;410,1
Loja C;RJ;Produto W;6;2024-05-06 00:00:00;212,17
Loja D;PR;Produto Y;19;2024-08-20 00:00:00;183,43
Loja A;RJ;Produto W;11;2024-07-31 00:00:00;389,59
Loja D;PR;Produto V;18;2023-04-24 00:00:00;259,87
Loja C;MG;Produto Z;16;2024-01-13 00:00:00;470,33
Loja A;RJ;Produto Y;8;2023-10-12 00:00:00;146,99
Loja D;SP;Produto Y;4;2023-04-07 00:00:00;168,67
Loja D;PR;Produto X;11;2023-05-04 00:00:00;499,42
Loja C;RJ;Produto V;10;2023-06-05 00:00:00;489,31
Loja A;MG;Produto X;16;2023-04-20 00:00:00;443,74
Loja C;MG;Produto V;12;2023-02-22 00:00:00;208,27
Loja A;SP;Produto V;3;2023-06-23 00:00:00;420,43
Loja E;MG;Produto W;11;2024-11-09 00:00:00;148,86
Loja B;MG;Produto X;16;2024-08-10 00:00:00;134,83
Loja B;RJ;Produto Z;3;2023-11-10 00:00:00;277,75
Loja B;PR;Produto V;10;2024-12-26 00:00:00;431,53
Loja C;RS;Produto V;16;2024-11-24 00:00:00;57,76
Loja E;MG;Produto Y;7;2024-01-25 00:00:00;287
Loja A;MG;Produto W;15;2023-02-14 00:00:00;308,77
Loja D;RS;Produto Z;15;2024-10-24 00:00:00;294,1
Loja A;MG;Produto V;10;2023-04-27 00:00:00;117,06
Loja D;RJ;Produto Y;3;2023-05-02 00:00:00;41,42
Loja A;RJ;Produto X;6;2024-04-26 00:00:00;448,55
Loja E;RS;Produto V;18;2023-06-19 00:00:00;291,51
Loja D;MG;Produto Y;5;2024-11-08 00:00:00;386,27
Loja C;MG;Produto X;16;2024-02-04 00:00:00;188,57
Loja A;PR;Produto W;13;2024-10-22 00:00:00;30,83
Loja A;MG;Produto X;3;2024-05-14 00:00:00;137,19
Loja D;RJ;Produto V;15;2023-03-15 00:00:00;45,95
Loja C;SP;Produto Z;6;2023-05-29 00:00:00;48,34
Loja C;SP;Produto X;4;2024-06-20 00:00:00;115,09
Loja E;SP;Produto Z;15;2023-03-02 00:00:00;320,45
Loja C;SP;Produto Z;18;2023-02-23 00:00:00;410,71
Loja C;MG;Produto X;9;2023-08-11 00:00:00;412,46
Loja C;MG;Produto W;4;2024-12-31 00:00:00;469,5
Loja B;PR;Produto X;16;2024-04-17 00:00:00;331,63
Loja E;MG;Produto Y;18;2023-11-12 00:00:00;19,73
Loja A;SP;Produto Z;5;2023-06-19 00:00:00;194,93
Loja D;RS;Produto V;13;2024-12-01 00:00:00;64,62
Loja A;RS;Produto Z;6;2023-02-01 00:00:00;390,96
Loja E;RJ;Produto V;19;2023-02-22 00:00:00;68,65
Loja D;RJ;Produto Y;12;2023-05-19 00:00:00;61,9
Loja E;MG;Produto Y;15;2024-01-09 00:00:00;23,82
Loja C;RS;Produto Y;9;2023-02-16 00:00:00;478,2
Loja D;SP;Produto X;7;2023-03-31 00:00:00;395
Loja C;SP;Produto Z;14;2023-02-05 00:00:00;173,32
Loja A;SP;Produto V;19;2023-08-13 00:00:00;194,46
Loja A;MG;Produto Y;16;2024-07-07 00:00:00;39,12
Loja D;MG;Produto Y;4;2023-09-26 00:00:00;87,38
Loja D;PR;Produto V;12;2023-07-05 00:00:00;162,61
Loja E;SP;Produto Z;18;2024-01-06 00:00:00;200,06
Loja E;SP;Produto Z;8;2023-08-23 00:00:00;313,79
Loja C;MG;Produto V;17;2023-05-02 00:00:00;181,66
Loja D;MG;Produto W;3;2024-02-28 00:00:00;477,75
Loja A;PR;Produto Z;4;2024-01-24 00:00:00;177,97
Loja E;PR;Produto V;10;2023-04-27 00:00:00;471,38
Loja E;RJ;Produto V;16;2024-04-10 00:00:00;367,63
Loja A;RS;Produto Y;2;2024-03-04 00:00:00;450,95
Loja E;SP;Produto V;12;2024-03-17 00:00:00;354,55
Loja C;SP;Produto X;16;2023-02-08 00:00:00;288,61
Loja D;PR;Produto Y;10;2023-06-11 00:00:00;259,45
Loja A;PR;Produto Y;5;2024-09-12 00:00:00;152,76
Loja D;RJ;Produto Z;12;2024-06-09 00:00:00;156,11
Loja E;RS;Produto W;3;2023-06-15 00:00:00;119,37
Loja E;RJ;Produto Z;12;2024-03-20 00:00:00;198,92
Loja A;RS;Produto X;1;2024-03-18 00:00:00;72,22
Loja C;SP;Produto Y;2;2023-11-27 00:00:00;199,93
Loja B;RJ;Produto Y;11;2023-12-01 00:00:00;418,53
Loja A;PR;Produto V;12;2023-04-22 00:00:00;436,44
Loja B;RJ;Produto W;7;2024-12-14 00:00:00;324,99
Loja B;RJ;Produto W;1;2023-05-19 00:00:00;135,84
Loja C;SP;Produto V;13;2023-06-15 00:00:00;127,77
Loja B;PR;Produto X;13;2024-02-18 00:00:00;146,19
Loja B;PR;Produto W;2;2023-06-18 00:00:00;255,02
Loja C;MG;Produto Y;10;2023-05-04 00:00:00;488,46
Loja B;MG;Produto X;1;2024-07-03 00:00:00;63,5
Loja B;MG;Produto Z;7;2023-04-08 00:00:00;255,25
Loja B;SP;Produto Z;13;2023-03-01 00:00:00;344,3
Loja A;RJ;Produto X;2;2023-01-19 00:00:00;130,37
Loja A;PR;Produto Y;7;2023-05-04 00:00:00;484,87
Loja A;PR;Produto Z;17;2023-08-14 00:00:00;181,02
Loja C;RJ;Produto Y;5;2024-09-03 00:00:00;466,85
Loja E;PR;Produto V;11;2023-11-20 00:00:00;302,7
Loja B;RJ;Produto W;11;2023-01-17 00:00:00;12
Loja B;SP;Produto X;11;2023-03-21 00:00:00;162,44
Loja C;SP;Produto W;17;2024-08-19 00:00:00;20,56
Loja B;SP;Produto V;19;2024-03-31 00:00:00;196,92
Loja A;RJ;Produto Z;8;2024-06-24 00:00:00;466,94
Loja E;RJ;Produto Y;14;2024-10-07 00:00:00;391,72
Loja D;RS;Produto Y;10;2024-12-06 00:00:00;313,86
Loja B;PR;Produto V;7;2024-09-22 00:00:00;273,89
Loja A;PR;Produto X;2;2024-01-13 00:00:00;192,57
Loja D;RS;Produto W;17;2023-07-10 00:00:00;113,65
Loja E;RS;Produto Z;1;2024-10-26 00:00:00;40,64
Loja D;SP;Produto X;13;2024-05-05 00:00:00;103,17
Loja A;RS;Produto V;19;2024-02-09 00:00:00;182,24
Loja D;RJ;Produto V;14;2023-09-29 00:00:00;264,8
Loja C;MG;Produto Y;18;2024-10-05 00:00:00;110,16
Loja D;RJ;Produto Z;14;2024-03-05 00:00:00;487,42
Loja B;RS;Produto X;15;2024-06-03 00:00:00;47,66
Loja B;PR;Produto Y;14;2024-10-07 00:00:00;56,45
Loja C;RJ;Produto Z;5;2024-01-19 00:00:00;344,48
Loja A;PR;Produto W;16;2023-07-11 00:00:00;379,98
Loja B;RJ;Produto W;5;2024-08-25 00:00:00;486,5
Loja E;PR;Produto Y;13;2024-03-10 00:00:00;269,92
Loja B;RJ;Produto X;16;2023-03-04 00:00:00;91,31
Loja B;PR;Produto Z;15;2023-08-04 00:00:00;469,59
Loja A;MG;Produto W;5;2023-05-14 00:00:00;490,31
Loja D;SP;Produto W;6;2024-09-10 00:00:00;462,52
Loja B;RJ;Produto X;13;2023-06-10 00:00:00;437,11
Loja C;MG;Produto Y;16;2023-09-15 00:00:00;48,01
Loja D;SP;Produto V;10;2024-02-29 00:00:00;428,89
Loja E;RJ;Produto Z;2;2024-06-11 00:00:00;477,08
Loja A;MG;Produto W;13;2023-12-24 00:00:00;280,63
Loja E;MG;Produto V;17;2024-01-10 00:00:00;388,57
Loja D;MG;Produto X;1;2024-07-24 00:00:00;333,84
Loja D;RS;Produto Y;4;2023-01-09 00:00:00;151,15
Loja D;PR;Produto Z;18;2023-07-16 00:00:00;297,88
Loja E;SP;Produto X;6;2023-04-27 00:00:00;445,79
Loja D;PR;Produto Y;12;2023-01-10 00:00:00;253,23
Loja E;PR;Produto X;13;2024-06-02 00:00:00;299,17
Loja D;PR;Produto W;2;2023-12-15 00:00:00;270,42
Loja C;MG;Produto W;17;2024-12-06 00:00:00;148,38
Loja D;PR;Produto V;10;2024-02-08 00:00:00;325,39
Loja E;RS;Produto X;19;2024-09-26 00:00:00;259,64
Loja B;RJ;Produto W;5;2024-07-28 00:00:00;123,95
Loja D;MG;Produto Y;12;2023-01-04 00:00:00;448,74
Loja B;SP;Produto V;18;2023-11-24 00:00:00;475,52
Loja C;RJ;Produto Z;9;2024-05-26 00:00:00;37,13
Loja A;RJ;Produto X;11;2023-05-10 00:00:00;314,95
Loja C;RJ;Produto W;4;2024-08-09 00:00:00;213,37
Loja D;PR;Produto Y;10;2024-04-28 00:00:00;267,72
Loja B;PR;Produto X;1;2023-12-24 00:00:00;193,18
Loja B;MG;Produto Y;2;2024-01-20 00:00:00;242,44
Loja E;PR;Produto V;9;2023-09-11 00:00:00;168,48
Loja B;PR;Produto W;18;2023-06-16 00:00:00;67,63
Loja E;PR;Produto W;16;2024-12-13 00:00:00;158
Loja A;MG;Produto V;14;2024-11-10 00:00:00;338,46
Loja D;MG;Produto Y;4;2024-04-13 00:00:00;34,69
Loja E;RS;Produto X;2;2024-05-07 00:00:00;197,54
Loja A;RS;Produto Y;12;2023-12-04 00:00:00;30,73
Loja B;RS;Produto X;5;2023-02-20 00:00:00;184,57
Loja B;RS;Produto V;4;2023-02-25 00:00:00;52,93
Loja A;RJ;Produto Z;15;2023-03-14 00:00:00;176,42
Loja B;RJ;Produto X;3;2024-08-22 00:00:00;420,66
Loja A;RS;Produto W;17;2023-02-21 00:00:00;310,57
Loja E;RS;Produto W;8;2023-05-05 00:00:00;344,32
Loja E;SP;Produto W;12;2023-09-19 00:00:00;256,86
Loja A;RJ;Produto Y;8;2024-07-28 00:00:00;461,97
Loja E;SP;Produto Y;5;2024-07-01 00:00:00;275,17
Loja E;SP;Produto Y;6;2024-06-04 00:00:00;61,1
Loja E;PR;Produto W;5;2023-11-26 00:00:00;467,22
Loja C;MG;Produto X;8;2023-11-19 00:00:00;75,2
Loja D;RJ;Produto W;18;2023-08-29 00:00:00;499,59
Loja B;RS;Produto X;4;2023-10-12 00:00:00;223,34
Loja C;RS;Produto Y;4;2024-08-24 00:00:00;46,01
Loja E;MG;Produto Z;5;2023-09-21 00:00:00;433,41
Loja A;RJ;Produto Y;15;2023-10-26 00:00:00;55,51
Loja E;RS;Produto V;6;2023-07-24 00:00:00;95,47
Loja D;RS;Produto X;16;2023-10-18 00:00:00;214,5
Loja E;PR;Produto Z;14;2023-07-30 00:00:00;341,33
Loja A;SP;Produto Y;14;2024-01-01 00:00:00;69,36
Loja D;RS;Produto Z;16;2024-04-08 00:00:00;315,09
Loja E;RJ;Produto W;4;2024-12-19 00:00:00;392,39
Loja D;MG;Produto X;11;2023-11-18 00:00:00;70,51
Loja B;PR;Produto V;19;2023-12-24 00:00:00;327,31
Loja B;RJ;Produto W;19;2023-04-04 00:00:00;479,85
Loja E;PR;Produto Z;8;2024-12-11 00:00:00;484,02
Loja D;SP;Produto Y;10;2023-06-18 00:00:00;89,21
Loja A;RS;Produto X;5;2023-10-24 00:00:00;382,26
Loja E;RJ;Produto V;16;2024-05-30 00:00:00;424,85
Loja B;MG;Produto Y;3;2023-04-08 00:00:00;445,59
Loja B;SP;Produto V;10;2024-12-05 00:00:00;168,6
Loja E;SP;Produto X;13;2023-12-16 00:00:00;142,36
Loja D;PR;Produto Z;7;2024-08-01 00:00:00;33,45
Loja B;SP;Produto V;12;2024-10-11 00:00:00;205,74
Loja D;RJ;Produto X;14;2024-02-05 00:00:00;70,74
Loja B;PR;Produto V;10;2024-03-26 00:00:00;395,27
Loja B;SP;Produto Y;9;2024-04-19 00:00:00;80,05
Loja C;MG;Produto V;12;2024-02-23 00:00:00;411,26
Loja B;RJ;Produto Y;3;2023-01-04 00:00:00;62,73
Loja A;MG;Produto Y;13;2023-11-20 00:00:00;245,5
